"Point ID";Latitude;Longitude;Elevation;Cartesian_X;Cartesian_Y;Cartesian_Z;Local_N;Local_E;Local_Z;"Ant_Hgt KI";"Ant_Hgt True";Dev_1;Dev_2;Solution;#SV;PDOP;HDOP;VDOP;Note;"PC DATE STAMP";"PC TIME STAMP";"GPS START TIME";"GPS END TIME"
VRSx_WEST_451;"49 09 04,93086060";"23 02 51,99936144";621,0660;3846459,0902093;1636511,7468044;4802055,8521603;;;;---;---;;;;;;;;"* Base *";04-04-2017;10:07:47;;
1;"49 09 04,28878140";"23 02 52,90466880";623,527000;3846467,1965148;1636535,1340658;4802044,738886;5437450,2587;1267150,9107;586,1875;" 2,0000 m";2,0940;0,020;0,029;FIXED;11;2,905;1,100;2,689;DOR;04-04-2017;10:07:47;"Tue, 04 Apr 2017 10:07:46 ";"Tue, 04 Apr 2017 10:07:46 "
2;"49 09 04,28474460";"23 02 53,01342420";623,609000;3846466,4697964;1636537,2200907;4802044,7193398;5437450,1209;1267153,1137;586,2696;" 2,0000 m";2,0940;0,021;0,031;FIXED;10;2,303;1,700;1,554;DOR;04-04-2017;10:07:49;"Tue, 04 Apr 2017 10:07:54 ";"Tue, 04 Apr 2017 10:07:54 "
3;"49 09 03,43093440";"23 02 52,91072640";622,950000;3846485,2491292;1636542,9482244;4802026,9673295;5437423,7569;1267150,8753;585,6122;" 2,0000 m";2,0940;0,025;0,042;FIXED;7;6,676;2,600;6,149;DOR;04-04-2017;10:07:56;"Tue, 04 Apr 2017 10:08:15 ";"Tue, 04 Apr 2017 10:08:15 "
4;"49 09 03,42706620";"23 02 53,02257060";623,085000;3846484,5261723;1636545,1038887;4802026,9912808;5437423,6239;1267153,1409;585,7473;" 2,0000 m";2,0940;0,021;0,028;FIXED;10;2,020;1,200;1,625;DOR;04-04-2017;10:08:18;"Tue, 04 Apr 2017 10:08:23 ";"Tue, 04 Apr 2017 10:08:23 "
5;"49 09 03,42279720";"23 02 52,86771420";622,892000;3846485,7304777;1636542,2057204;4802026,759022;5437423,5107;1267150,0022;585,5541;" 2,0000 m";2,0940;0,020;0,032;FIXED;9;1,959;1,200;1,549;OMB;04-04-2017;10:08:25;"Tue, 04 Apr 2017 10:08:37 ";"Tue, 04 Apr 2017 10:08:37 "
6;"49 09 03,33166620";"23 02 52,86975600";622,886000;3846487,6704292;1636543,076069;4802024,912933;5437420,6952;1267150,0268;585,5483;" 2,0000 m";2,0940;0,016;0,023;FIXED;9;2,078;1,200;1,696;MEGSUS;04-04-2017;10:08:39;"Tue, 04 Apr 2017 10:08:50 ";"Tue, 04 Apr 2017 10:08:50 "
7;"49 09 03,33037500";"23 02 52,87062180";622,947000;3846487,7280403;1636543,1196489;4802024,9329833;5437420,6552;1267150,0441;585,6093;" 2,0000 m";2,0940;0,016;0,024;FIXED;9;2,078;1,200;1,696;OMB;04-04-2017;10:08:52;"Tue, 04 Apr 2017 10:08:59 ";"Tue, 04 Apr 2017 10:08:59 "
8;"49 09 03,14228820";"23 02 52,93828500";623,183000;3846491,3780108;1636546,1627976;4802021,3106921;5437414,8366;1267151,3805;585,8458;" 2,0000 m";2,0940;0,021;0,035;FIXED;12;1,605;0,900;1,329;DOR;04-04-2017;10:09:01;"Tue, 04 Apr 2017 10:09:17 ";"Tue, 04 Apr 2017 10:09:17 "
9;"49 09 03,12805320";"23 02 53,05520400";623,361000;3846490,8636043;1636548,5189646;4802021,15768;5437414,3827;1267153,7471;586,0239;" 2,0000 m";2,0940;0,020;0,028;FIXED;12;1,505;0,800;1,275;DOR;04-04-2017;10:09:19;"Tue, 04 Apr 2017 10:09:23 ";"Tue, 04 Apr 2017 10:09:23 "
10;"49 09 03,24047400";"23 02 52,89180540";623,153000;3846489,6172596;1636544,3899923;4802023,2721131;5437417,8754;1267150,4567;585,8155;" 2,0000 m";2,0940;0,020;0,037;FIXED;11;1,904;1,000;1,620;MEGOS;04-04-2017;10:09:25;"Tue, 04 Apr 2017 10:09:47 ";"Tue, 04 Apr 2017 10:09:47 "
11;"49 09 03,25298100";"23 02 52,89491520";623,082000;3846489,2808923;1636544,3153702;4802023,4711444;5437418,2614;1267150,5221;585,7445;" 2,0000 m";2,0940;0,014;0,018;FIXED;12;1,559;0,900;1,273;OMB;04-04-2017;10:09:49;"Tue, 04 Apr 2017 10:09:58 ";"Tue, 04 Apr 2017 10:09:58 "
